KU Course,SDU Course,Similarity Score
Videnskabsteori og samfundsfarmaci,Samfundsfarmaci,0.3981
Organisk kemi II – syntese af lægemiddelstoffer,Indledende organisk kemi,0.3912
Farmaceutisk fysisk kemi I,Farmaceutisk fysisk kemi,0.3442
Farmaci II – faste lægemiddelformer,Lægemiddelformulering og fremstilling B,0.32
Systemfarmakologi - signalvejenes farmakologi,"Fysiologi og farmakologi for farmaceuter - Modul 4: Hormoner, kirtler, knogler og nervesystem",0.3137
Farmaci I – flydende og halvfaste lægemiddelformer,Lægemiddelformulering og fremstilling A,0.3087
Organisk kemi I,Indledende organisk kemi,0.3085
Organfarmakologi,"Fysiologi og farmakologi for farmaceuter - Modul 4: Hormoner, kirtler, knogler og nervesystem",0.3014
Farmaceutisk analytisk kemi,Instrumentel farmaceutisk analyse,0.2873
Organisk kemi II – syntese af lægemiddelstoffer,Almen kemi,0.2491
Farmaci I – flydende og halvfaste lægemiddelformer,Lægemiddelformulering og fremstilling B,0.2468
Samfundsfarmaci – metode og formidling,Samfundsfarmaci,0.2464
Organisk kemi II – syntese af lægemiddelstoffer,Farmaceutisk fysisk kemi,0.2448
Organisk kemi I,Farmaceutisk fysisk kemi,0.2375
Systemfarmakologi - signalvejenes farmakologi,"Fysiologi og farmakologi for farmaceuter – modul 3: Respiration, mave-tarm-system og immunologi",0.2358
Kvalitetsvurdering af farmaceutiske råvarer,Instrumentel farmaceutisk analyse,0.2306
Kvalitetsvurdering af farmaceutiske råvarer,Farmaci grundkursus,0.2279
Farmaci II – faste lægemiddelformer,Lægemiddelformulering og fremstilling C,0.227
Farmaceutisk fysisk kemi II,Farmaceutisk fysisk kemi,0.2265
Farmaci I – flydende og halvfaste lægemiddelformer,Lægemiddelformulering og fremstilling C,0.2214
Farmaceutisk biologi,Farmaceutisk Biologi,0.217
Kemiske principper,Indledende organisk kemi,0.2137
Farmaceutisk fysisk kemi I,Almen kemi,0.21
Farmaci II – faste lægemiddelformer,Lægemiddelformulering og fremstilling A,0.2094
Lægemidler fra naturen,Naturstofkemi og farmakognosi,0.2071
Farmaceutisk analytisk kemi,Farmaci grundkursus,0.2063
Cellulær og molekylær biologi,Grundlæggende biokemi,0.2038
Basal farmakologi,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,0.2009
Organisk kemi II – syntese af lægemiddelstoffer,Organisk Kemi,0.2001
Farmaceutisk fysisk kemi I,Matematik og statistik for farmaci,0.1995
Farmaceutisk fysisk kemi I,Indledende organisk kemi,0.1992
Kemiske principper,Almen kemi,0.1935
Systemfarmakologi - signalvejenes farmakologi,Farmaceutisk Biologi,0.1875
Bachelorprojekt i farmaci,Lægemiddelformulering og fremstilling B,0.1871
Lægemidler fra naturen,Instrumentel farmaceutisk analyse,0.1865
Biopharmaceuticals – bioorganisk kemi,Indledende organisk kemi,0.1863
Bachelorprojekt i farmaci,Lægemiddelformulering og fremstilling C,0.1859
Bachelorprojekt i farmaci,Lægemiddelformulering og fremstilling A,0.1859
Organisk kemi II – syntese af lægemiddelstoffer,Lægemiddelformulering og fremstilling A,0.185
Biopharmaceuticals – bioorganisk kemi,Farmaceutisk fysisk kemi,0.183
Organisk kemi II – syntese af lægemiddelstoffer,Grundstoffernes Kemi,0.1827
Organisk kemi I,Almen kemi,0.1821
Biopharmaceuticals – bioorganisk kemi,Almen kemi,0.1799
Organfarmakologi,Farmaceutisk Biologi,0.1779
Cellulær og molekylær biologi,Fundamental Molekylær Biologi,0.1759
Systemfarmakologi - signalvejenes farmakologi,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,0.1759
Cellulær og molekylær biologi,Farmaceutisk Biologi,0.1749
Organfarmakologi,"Fysiologi og farmakologi for farmaceuter - Modul 2: hjerte, kar og nyrer",0.1742
Bachelorprojekt i farmaci,Farmaci grundkursus,0.1721
Systemfarmakologi - signalvejenes farmakologi,"Fysiologi og farmakologi for farmaceuter - Modul 2: hjerte, kar og nyrer",0.1709
Basal farmakologi,"Fysiologi og farmakologi for farmaceuter - Modul 4: Hormoner, kirtler, knogler og nervesystem",0.1707
Farmaceutisk biologi,Toksikologi,0.1676
Organisk kemi II – syntese af lægemiddelstoffer,Lægemiddelformulering og fremstilling C,0.1675
Farmaceutisk analytisk kemi,Farmaceutisk fysisk kemi,0.1674
Basal farmakologi,"Fysiologi og farmakologi for farmaceuter – modul 3: Respiration, mave-tarm-system og immunologi",0.1664
Cellulær og molekylær biologi,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,0.1654
Organisk kemi II – syntese af lægemiddelstoffer,Farmaci grundkursus,0.1651
Organfarmakologi,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,0.165
Organfarmakologi,"Fysiologi og farmakologi for farmaceuter – modul 3: Respiration, mave-tarm-system og immunologi",0.1646
Bachelorprojekt i farmaci,Instrumentel farmaceutisk analyse,0.1642
Kemiske principper,Lægemiddelformulering og fremstilling A,0.1637
Basal farmakologi,"Fysiologi og farmakologi for farmaceuter - Modul 2: hjerte, kar og nyrer",0.1636
Kemiske principper,Farmaceutisk fysisk kemi,0.1628
Farmaceutisk biologi,"Fysiologi og farmakologi for farmaceuter - Modul 4: Hormoner, kirtler, knogler og nervesystem",0.1603
Farmaceutisk fysisk kemi I,Lægemiddelformulering og fremstilling A,0.1588
Biopharmaceuticals – bioorganisk kemi,Lægemiddelformulering og fremstilling A,0.1574
Kvalitetsvurdering af farmaceutiske råvarer,Lægemiddelformulering og fremstilling A,0.1542
Organisk kemi II – syntese af lægemiddelstoffer,Naturstofkemi og farmakognosi,0.1541
Kvalitetsvurdering af farmaceutiske råvarer,Farmaceutisk Mikrobiologi,0.1517
Bachelorprojekt i farmaci,Lægemiddelformulering og fremstilling D,0.1505
Bachelorprojekt i farmaci,Almen kemi,0.1497
Farmaceutisk biologi,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,0.1492
Organfarmakologi,Indledende organisk kemi,0.1484
Bachelorprojekt i farmaci,Farmaceutisk fysisk kemi,0.1482
Cellulær og molekylær biologi,"Fysiologi og farmakologi for farmaceuter – modul 3: Respiration, mave-tarm-system og immunologi",0.1468
Farmaceutisk biologi,Almen kemi,0.1466
Organisk kemi I,Organisk Kemi,0.1465
Organisk kemi I,Lægemiddelformulering og fremstilling A,0.1454
Biopharmaceuticals – bioorganisk kemi,Farmaci grundkursus,0.1449
Kemiske principper,Farmaci grundkursus,0.1447
Videnskabsteori og samfundsfarmaci,Lægemiddelformulering og fremstilling C,0.1435
Kemiske principper,Grundstoffernes Kemi,0.1421
Farmaci II – faste lægemiddelformer,Farmaceutisk fysisk kemi,0.1405
Organisk kemi II – syntese af lægemiddelstoffer,Lægemiddelformulering og fremstilling D,0.1398
Systemfarmakologi - signalvejenes farmakologi,Matematik og statistik for farmaci,0.1394
Farmaceutisk analytisk kemi,Matematik og statistik for farmaci,0.1388
Farmaceutisk biologi,Farmaci grundkursus,0.1379
Farmaceutisk biologi,Lægemiddelformulering og fremstilling C,0.1374
Farmaceutisk biologi,Indledende organisk kemi,0.137
Organfarmakologi,Almen kemi,0.1367
Farmaci I – flydende og halvfaste lægemiddelformer,Lægemiddelformulering og fremstilling D,0.136
Biopharmaceuticals – bioorganisk kemi,Matematik og statistik for farmaci,0.1352
Systemfarmakologi - signalvejenes farmakologi,Indledende organisk kemi,0.1349
Farmaceutisk biologi,Grundlæggende biokemi,0.1341
Kemiske principper,Lægemiddelformulering og fremstilling C,0.1341
Lægemiddeludvikling fra molekyle til menneske,Lægemiddelformulering og fremstilling C,0.134
Videnskabsteori og samfundsfarmaci,Farmaci grundkursus,0.1338
Farmaceutisk biologi,Samfundsfarmaci,0.1338
Organisk kemi II – syntese af lægemiddelstoffer,Lægemiddelformulering og fremstilling B,0.1337
Cellulær og molekylær biologi,Farmaceutisk Mikrobiologi,0.133
Farmaceutisk fysisk kemi II,Matematik og statistik for farmaci,0.1329
Kvalitetsvurdering af farmaceutiske råvarer,Indledende organisk kemi,0.1329
Kvalitetsvurdering af farmaceutiske råvarer,Matematik og statistik for farmaci,0.1327
Farmaceutisk fysisk kemi I,Farmaceutisk Biologi,0.1322
Biopharmaceuticals – bioorganisk kemi,Grundstoffernes Kemi,0.132
Biopharmaceuticals – bioorganisk kemi,Lægemiddelformulering og fremstilling C,0.1319
Farmaceutisk biologi,Farmaceutisk fysisk kemi,0.1315
Videnskabsteori og samfundsfarmaci,Toksikologi,0.1315
Lægemidler fra naturen,Farmaceutisk Biologi,0.1313
Farmaceutisk biologi,Fundamental Molekylær Biologi,0.1308
Organisk kemi II – syntese af lægemiddelstoffer,Farmaceutisk Biologi,0.1297
Cellulær og molekylær biologi,Farmaci grundkursus,0.1282
Cellulær og molekylær biologi,Indledende organisk kemi,0.1281
Organisk kemi II – syntese af lægemiddelstoffer,Grundlæggende biokemi,0.1281
Farmaceutisk fysisk kemi II,Almen kemi,0.1281
Systemfarmakologi - signalvejenes farmakologi,Almen kemi,0.128
Organfarmakologi,Toksikologi,0.1278
Bachelorprojekt i farmaci,Indledende organisk kemi,0.1273
Kvalitetsvurdering af farmaceutiske råvarer,Farmaceutisk Biologi,0.1272
Kemiske principper,Lægemiddelformulering og fremstilling B,0.127
Videnskabsteori og samfundsfarmaci,Almen kemi,0.1269
Kemiske principper,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,0.1266
Biopharmaceuticals – bioorganisk kemi,Instrumentel farmaceutisk analyse,0.1265
Cellulær og molekylær biologi,Almen kemi,0.1264
Bachelorprojekt i farmaci,Matematik og statistik for farmaci,0.1264
Farmaceutisk biologi,Instrumentel farmaceutisk analyse,0.1264
Farmaceutisk analytisk kemi,Lægemiddelformulering og fremstilling C,0.126
Organisk kemi II – syntese af lægemiddelstoffer,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,0.1257
Cellulær og molekylær biologi,Fysik for Biologi og Farmaci,0.1255
Farmaceutisk fysisk kemi I,Lægemiddelformulering og fremstilling D,0.1254
Farmaci II – faste lægemiddelformer,Lægemiddelformulering og fremstilling D,0.1248
Farmaceutisk analytisk kemi,Farmaceutisk Biologi,0.1245
Farmaceutisk biologi,Lægemiddelformulering og fremstilling D,0.1245
Systemfarmakologi - signalvejenes farmakologi,Naturstofkemi og farmakognosi,0.1242
Kvalitetsvurdering af farmaceutiske råvarer,Farmaceutisk fysisk kemi,0.1236
Farmaceutisk fysisk kemi I,Lægemiddelformulering og fremstilling B,0.1234
Cellulær og molekylær biologi,"Fysiologi og farmakologi for farmaceuter - Modul 2: hjerte, kar og nyrer",0.1232
Organfarmakologi,Samfundsfarmaci,0.123
Kvalitetsvurdering af farmaceutiske råvarer,Almen kemi,0.1229
Organfarmakologi,Naturstofkemi og farmakognosi,0.1228
Videnskabsteori og samfundsfarmaci,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,0.1227
Videnskabsteori og samfundsfarmaci,Farmaceutisk fysisk kemi,0.1226
Organfarmakologi,Lægemiddelformulering og fremstilling D,0.1226
Samfundsfarmaci – metode og formidling,Farmaci grundkursus,0.1226
Organisk kemi II – syntese af lægemiddelstoffer,Toksikologi,0.1225
Organfarmakologi,Matematik og statistik for farmaci,0.1222
Lægemidler fra naturen,"Fysiologi og farmakologi for farmaceuter - Modul 4: Hormoner, kirtler, knogler og nervesystem",0.1213
Samfundsfarmaci – metode og formidling,Instrumentel farmaceutisk analyse,0.1206
Farmaceutisk analytisk kemi,Indledende organisk kemi,0.12
Bachelorprojekt i farmaci,Toksikologi,0.12
Organisk kemi II – syntese af lægemiddelstoffer,Matematik og statistik for farmaci,0.1195
Biopharmaceuticals – bioorganisk kemi,Naturstofkemi og farmakognosi,0.1194
Organisk kemi II – syntese af lægemiddelstoffer,Medicinalkemi A,0.1193
Farmaceutisk fysisk kemi II,Indledende organisk kemi,0.1191
Organisk kemi II – syntese af lægemiddelstoffer,Instrumentel farmaceutisk analyse,0.1191
Systemfarmakologi - signalvejenes farmakologi,Toksikologi,0.119
Videnskabsteori og samfundsfarmaci,Matematik og statistik for farmaci,0.1185
Farmaceutisk biologi,Lægemiddelformulering og fremstilling B,0.1181
Farmakoterapi,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,0.118
