,KE557,KE558,KE521,FA501,MM556,FA508,BMB528,FY528,BMB530,BMB504,FA515,FA511,SU520,KE505,FA503,SU517,FA507,BB555,FA505,FA504,SU511,SU518,FA506,FA514,SU519,SFAB20001U,SFAB20002U,SFAB20004U,SFAB20006U,SFAB20023U,SFAB20025U,SFAB20027U,SFAB20029U,SFAB20012U,SFAB20013U,SFAB20017U,SFAB20015U,SFAB20033U,SFAB20035U,SFAB20031U,SFAB23001U,SFAB20008U,SFAB20010U,SFABIL117U,SFAB20019U,
KE557,1.0,0.7232,0.5211,0.5328,0.3567,0.4005,0.352,0.3262,0.3577,0.164,0.632,0.4162,0.4221,0.2409,0.4234,0.3368,0.4683,0.2882,0.3422,0.5088,0.3148,0.2901,0.2177,0.321,0.2972,0.0674,0.1935,0.1264,0.1821,0.21,0.1229,0.1466,0.2491,0.1269,0.1133,0.1281,0.1799,0.1018,0.1132,0.0735,0.1367,0.1166,0.0821,0.128,0.1099,0.1497
KE558,0.7232,1.0,0.3627,0.3867,0.3036,0.315,0.2426,0.248,0.2875,0.1512,0.3886,0.296,0.3534,0.2459,0.3349,0.2933,0.3097,0.2708,0.2803,0.3099,0.2064,0.2767,0.1797,0.245,0.2649,0.0631,0.2137,0.1281,0.3085,0.1992,0.1329,0.137,0.3912,0.1129,0.1041,0.1191,0.1863,0.0974,0.12,0.0766,0.1484,0.1095,0.0937,0.1349,0.1022,0.1273
KE521,0.5211,0.3627,1.0,0.5759,0.5942,0.6159,0.6145,0.711,0.6236,0.5357,0.5081,0.4823,0.5977,0.6497,0.643,0.6177,0.6654,0.2698,0.6833,0.6074,0.395,0.4572,0.5995,0.4286,0.4476,0.0462,0.1421,0.1037,0.109,0.1128,0.0817,0.0898,0.1827,0.0891,0.0634,0.0757,0.132,0.0652,0.0824,0.0589,0.0657,0.085,0.0909,0.0623,0.0744,0.0991
FA501,0.5328,0.3867,0.5759,1.0,0.456,0.557,0.5008,0.4897,0.4862,0.3161,0.5058,0.4838,0.5604,0.3206,0.6219,0.4919,0.6431,0.3547,0.4367,0.591,0.4029,0.4218,0.3194,0.3872,0.3918,0.0778,0.1447,0.1282,0.0859,0.1067,0.2279,0.1379,0.1651,0.1338,0.1014,0.0715,0.1449,0.1226,0.2063,0.0744,0.1044,0.1109,0.0868,0.1031,0.1173,0.1721
MM556,0.3567,0.3036,0.5942,0.456,1.0,0.5253,0.509,0.5939,0.5082,0.4806,0.3579,0.404,0.449,0.5279,0.516,0.5116,0.5919,0.2504,0.562,0.4692,0.3447,0.3866,0.4802,0.3843,0.4101,0.0496,0.0811,0.1099,0.0896,0.1995,0.1327,0.1111,0.1195,0.1185,0.1115,0.1329,0.1352,0.1178,0.1388,0.0703,0.1222,0.1147,0.099,0.1394,0.0843,0.1264
FA508,0.4005,0.315,0.6159,0.557,0.5253,1.0,0.5257,0.63,0.5778,0.5391,0.4108,0.4314,0.5203,0.4697,0.5742,0.5466,0.5431,0.3198,0.5898,0.4889,0.3606,0.4141,0.4637,0.3997,0.4665,0.1145,0.0957,0.1749,0.0962,0.1322,0.1272,0.217,0.1297,0.0994,0.0847,0.0808,0.1137,0.0953,0.1245,0.0632,0.1779,0.1313,0.0746,0.1875,0.0694,0.1
BMB528,0.352,0.2426,0.6145,0.5008,0.509,0.5257,1.0,0.6036,0.5421,0.4889,0.3731,0.4525,0.5001,0.4938,0.5883,0.5285,0.5496,0.2265,0.5411,0.508,0.3582,0.3872,0.4677,0.3912,0.3958,0.0595,0.1037,0.133,0.0578,0.0964,0.1517,0.1125,0.1015,0.1128,0.0598,0.0629,0.1104,0.0582,0.0852,0.0809,0.1034,0.1019,0.1108,0.089,0.0578,0.116
FY528,0.3262,0.248,0.711,0.4897,0.5939,0.63,0.6036,1.0,0.8119,0.7879,0.3662,0.4298,0.557,0.7198,0.6116,0.6228,0.609,0.2161,0.6738,0.497,0.3525,0.443,0.6393,0.3814,0.4603,0.0224,0.0631,0.1255,0.0576,0.1157,0.0703,0.0923,0.0703,0.0587,0.0465,0.0603,0.066,0.0494,0.0627,0.0355,0.0513,0.0409,0.0442,0.0485,0.034,0.0559
BMB530,0.3577,0.2875,0.6236,0.4862,0.5082,0.5778,0.5421,0.8119,1.0,0.7842,0.3657,0.3982,0.552,0.6092,0.5264,0.5396,0.5276,0.272,0.5985,0.4654,0.3439,0.4326,0.5347,0.3458,0.4262,0.0491,0.1024,0.2038,0.0758,0.0815,0.0707,0.1341,0.1281,0.11,0.0782,0.0763,0.1149,0.0591,0.0876,0.0408,0.0858,0.073,0.0616,0.0773,0.0703,0.0797
BMB504,0.164,0.1512,0.5357,0.3161,0.4806,0.5391,0.4889,0.7879,0.7842,1.0,0.1813,0.3037,0.384,0.6663,0.441,0.4607,0.4326,0.1591,0.6174,0.3073,0.2523,0.3229,0.5579,0.2651,0.3299,0.032,0.053,0.1759,0.0433,0.0433,0.0377,0.1308,0.0649,0.0406,0.0326,0.0328,0.0913,0.0262,0.0402,0.0253,0.0611,0.0378,0.0396,0.0582,0.0443,0.0319
