course_KU,course_SDU,Semester_KU,Semester_SDU,similarity
Cellulær og molekylær biologi,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,1,3,0.6723294854164124
Cellulær og molekylær biologi,Fundamental Molekylær Biologi,1,3,0.6039792895317078
Cellulær og molekylær biologi,Grundlæggende biokemi,1,3,0.5175915360450745
Cellulær og molekylær biologi,Farmaceutisk Biologi,1,2,0.47960859537124634
Cellulær og molekylær biologi,Farmaceutisk Mikrobiologi,1,2,0.44284820556640625
Cellulær og molekylær biologi,Indledende organisk kemi,1,1,0.41375091671943665
Cellulær og molekylær biologi,Instrumentel farmaceutisk analyse,1,4,0.4006604850292206
Cellulær og molekylær biologi,"Fysiologi og farmakologi for farmaceuter - Modul 4: Hormoner, kirtler, knogler og nervesystem",1,6,0.3983709514141083
Cellulær og molekylær biologi,"Fysiologi og farmakologi for farmaceuter – modul 3: Respiration, mave-tarm-system og immunologi",1,5,0.3897911012172699
Cellulær og molekylær biologi,Organisk Kemi,1,4,0.38837239146232605
Cellulær og molekylær biologi,Farmaci grundkursus,1,1,0.3827303349971771
Cellulær og molekylær biologi,Matematik og statistik for farmaci,1,1,0.3783806562423706
Cellulær og molekylær biologi,Almen kemi,1,1,0.37741488218307495
Cellulær og molekylær biologi,Fysik for Biologi og Farmaci,1,2,0.368858277797699
Cellulær og molekylær biologi,Medicinalkemi A,1,6,0.3680208921432495
Cellulær og molekylær biologi,Lægemiddelformulering og fremstilling D,1,6,0.35793885588645935
Cellulær og molekylær biologi,"Fysiologi og farmakologi for farmaceuter - Modul 2: hjerte, kar og nyrer",1,4,0.3415599763393402
Cellulær og molekylær biologi,Grundstoffernes Kemi,1,1,0.33788177371025085
Cellulær og molekylær biologi,Toksikologi,1,5,0.2938225567340851
Cellulær og molekylær biologi,Farmaceutisk fysisk kemi,1,3,0.2758338451385498
Cellulær og molekylær biologi,Naturstofkemi og farmakognosi,1,5,0.2402866631746292
Cellulær og molekylær biologi,Samfundsfarmaci,1,5,0.21851947903633118
Cellulær og molekylær biologi,Lægemiddelformulering og fremstilling C,1,5,0.1890057474374771
