,Almen kemi,Indledende organisk kemi,Grundstoffernes Kemi,Farmaci grundkursus,Matematik og statistik for farmaci,Farmaceutisk Biologi,Farmaceutisk Mikrobiologi,Fysik for Biologi og Farmaci,Grundlæggende biokemi,Fundamental Molekylær Biologi,Farmaceutisk fysisk kemi,Lægemiddelformulering og fremstilling A,Fysiologi og farmakologi for farmaceuter - Modul 1: molekyler og celler,Organisk Kemi,Lægemiddelformulering og fremstilling B,"Fysiologi og farmakologi for farmaceuter - Modul 2: hjerte, kar og nyrer",Instrumentel farmaceutisk analyse,Toksikologi,Naturstofkemi og farmakognosi,Lægemiddelformulering og fremstilling C,Samfundsfarmaci,"Fysiologi og farmakologi for farmaceuter – modul 3: Respiration, mave-tarm-system og immunologi",Medicinalkemi A,Lægemiddelformulering og fremstilling D,"Fysiologi og farmakologi for farmaceuter - Modul 4: Hormoner, kirtler, knogler og nervesystem",Lægemiddeludvikling fra molekyle til menneske,Kemiske principper,Cellulær og molekylær biologi,Organisk kemi I,Farmaceutisk fysisk kemi I,Kvalitetsvurdering af farmaceutiske råvarer,Farmaceutisk biologi,Organisk kemi II – syntese af lægemiddelstoffer,Videnskabsteori og samfundsfarmaci,Basal farmakologi,Farmaceutisk fysisk kemi II,Biopharmaceuticals – bioorganisk kemi,Samfundsfarmaci – metode og formidling,Farmaceutisk analytisk kemi,Farmaci I – flydende og halvfaste lægemiddelformer,Organfarmakologi,Lægemidler fra naturen,Farmaci II – faste lægemiddelformer,Systemfarmakologi - signalvejenes farmakologi,Farmakoterapi
Almen kemi,0.0,0.7795150279998779,0.41618749499320984,0.33667251467704773,0.494022399187088,0.3375231623649597,0.2197091430425644,0.4982055425643921,0.7453499436378479,0.2719241678714752,0.4822383224964142,0.2552703022956848,0.33810868859291077,1.0,0.26556915044784546,0.3299996554851532,0.4378497004508972,0.3877568542957306,0.32003018260002136,0.27361413836479187,0.6648336052894592,0.37930989265441895,0.392277330160141,0.3534952402114868,0.43977102637290955,0.41092637181282043,0.5231333374977112,0.37741488218307495,0.4961170256137848,0.4444262385368347,0.5222646594047546,0.2917214035987854,0.2801266312599182,0.48064547777175903,0.47342196106910706,0.31346219778060913,0.34200212359428406,0.4372609555721283,0.4339907467365265,0.1405397355556488,0.3928581476211548,0.373126357793808,0.173963725566864,0.37859344482421875,0.3448309600353241
Indledende organisk kemi,0.7795150279998779,0.0,0.5992975831031799,0.3627767860889435,0.6792964339256287,0.4319649040699005,0.22902028262615204,0.6647502779960632,0.587114691734314,0.5188254117965698,0.3593408167362213,0.35810142755508423,0.3414577543735504,0.8271622061729431,0.3437383472919464,0.4034779369831085,0.2999093234539032,0.5647205114364624,0.5346565842628479,0.21033872663974762,0.5417367219924927,0.324633926153183,0.5087760090827942,0.274676114320755,0.32619476318359375,0.22640816867351532,0.30412107706069946,0.41375091671943665,0.6424177885055542,0.37557896971702576,0.15869691967964172,0.29844772815704346,0.6729568839073181,0.38124802708625793,0.3051062226295471,0.3995264172554016,0.5793758034706116,0.2953585386276245,0.18692798912525177,0.24338817596435547,0.5002529621124268,0.2968181073665619,0.2136249542236328,0.3667069673538208,0.3453364968299866
Grundstoffernes Kemi,0.41618749499320984,0.5992975831031799,0.0,0.26799920201301575,0.6226465106010437,0.43147772550582886,0.411420077085495,0.9084560871124268,0.24011622369289398,0.5553516149520874,0.32859376072883606,0.8463910818099976,0.4348544776439667,0.4195879101753235,0.7225122451782227,0.4658229649066925,0.3498382568359375,0.4566788971424103,0.9314322471618652,0.651336133480072,0.5905371904373169,0.19610238075256348,0.5249603986740112,0.23551973700523376,0.50277179479599,0.38930544257164,0.22103017568588257,0.33788177371025085,0.3197963237762451,0.40659815073013306,0.2045755535364151,0.2927718162536621,0.3956104516983032,0.4629429876804352,0.2728526294231415,0.5188149809837341,0.2600764036178589,0.3214394450187683,0.1065114364027977,0.11413829028606415,0.2353949397802353,0.5931041240692139,0.3376750349998474,0.6999287009239197,0.3277556002140045
Farmaci grundkursus,0.33667251467704773,0.3627767860889435,0.26799920201301575,0.0,0.7770256400108337,0.930346667766571,0.4337473213672638,0.08991020917892456,0.3108043968677521,0.2297441065311432,0.8228198885917664,0.5005735754966736,0.6293975710868835,0.3585464358329773,0.37288326025009155,0.5529012084007263,0.9256187677383423,0.6097345352172852,0.3133792579174042,0.4058974087238312,0.478208065032959,0.4015323221683502,0.5826069116592407,0.4526522755622864,0.19735461473464966,0.26566702127456665,0.2368336021900177,0.3827303349971771,0.3521248698234558,0.12082403153181076,0.4552406370639801,0.3893643915653229,0.5351971387863159,0.22849448025226593,0.43378007411956787,0.19655035436153412,0.34589099884033203,0.36363092064857483,0.5585061311721802,0.5571584701538086,0.40625056624412537,0.3469916880130768,0.5273500680923462,0.3520233631134033,0.5587924122810364
Matematik og statistik for farmaci,0.494022399187088,0.6792964339256287,0.6226465106010437,0.7770256400108337,0.0,0.7673335671424866,0.3492116630077362,0.49153557419776917,0.2706564962863922,0.3929210901260376,0.5250666737556458,0.5906401872634888,0.6294247508049011,0.5386910438537598,0.37525296211242676,0.732742428779602,0.7051336169242859,0.7909629344940186,0.5533434152603149,0.3238578140735626,0.7335094213485718,0.3871672451496124,0.46209821105003357,0.11929898709058762,0.2625667452812195,0.16946470737457275,0.11224421858787537,0.3783806562423706,0.25782281160354614,0.15854547917842865,0.27779993414878845,0.3189328610897064,0.5221325755119324,0.22190247476100922,0.3422934412956238,0.25478968024253845,0.2766967713832855,0.300063818693161,0.2828438878059387,0.37917783856391907,0.4706403613090515,0.2849180996417999,0.49087390303611755,0.583564817905426,0.6013690233230591
Farmaceutisk Biologi,0.3375231623649597,0.4319649040699005,0.43147772550582886,0.930346667766571,0.7673335671424866,0.0,0.5301454067230225,0.2492949664592743,0.3987364172935486,0.3945995271205902,0.7862918376922607,0.5802852511405945,0.6620851755142212,0.3627563714981079,0.4778955578804016,0.47738364338874817,0.8767302632331848,0.543512761592865,0.4364910125732422,0.4786129593849182,0.47425520420074463,0.32761406898498535,0.646714448928833,0.4962373971939087,0.2655586898326874,0.23185110092163086,0.11214961856603622,0.47960859537124634,0.33395451307296753,0.009239600971341133,0.2856816351413727,0.4615647792816162,0.524976909160614,0.22465845942497253,0.41938516497612,0.08694978058338165,0.40094056725502014,0.282558411359787,0.3700227737426758,0.3503662943840027,0.27725949883461,0.4818607270717621,0.2930167615413666,0.345970094203949,0.39913058280944824
Farmaceutisk Mikrobiologi,0.2197091430425644,0.22902028262615204,0.411420077085495,0.4337473213672638,0.3492116630077362,0.5301454067230225,0.0,0.5586434006690979,0.68889981508255,0.8498381972312927,0.3429855704307556,0.5563399791717529,0.37707632780075073,0.21699485182762146,0.6782909631729126,0.3799503445625305,0.4241035580635071,0.6816168427467346,0.4745326638221741,0.6699041724205017,0.5284348130226135,0.4060695469379425,0.19331899285316467,0.486732542514801,0.3005278706550598,0.28493449091911316,0.40283021330833435,0.44284820556640625,0.1990080326795578,0.293005108833313,0.5150194764137268,0.5144686102867126,0.2615509629249573,0.23433849215507507,0.5789873003959656,0.34985819458961487,0.4497144818305969,0.2503790259361267,0.5067186951637268,0.5761650800704956,0.28487882018089294,0.4774797558784485,0.3877478241920471,0.20923596620559692,0.30553796887397766
Fysik for Biologi og Farmaci,0.4982055425643921,0.6647502779960632,0.9084560871124268,0.08991020917892456,0.49153557419776917,0.2492949664592743,0.5586434006690979,0.0,0.47821134328842163,0.7603248953819275,0.1482393741607666,0.7242045998573303,0.3150574564933777,0.5112542510032654,0.7088845372200012,0.4228554368019104,0.15788424015045166,0.5657595992088318,0.8754310011863708,0.637525200843811,0.6405053734779358,0.2700235843658447,0.3656649589538574,0.2581748068332672,0.4564923048019409,0.39517828822135925,0.3741120398044586,0.368858277797699,0.33609703183174133,0.5360332131385803,0.28173768520355225,0.3383307456970215,0.3350332975387573,0.41048187017440796,0.2714088559150696,0.5587902069091797,0.3174547851085663,0.2861589193344116,0.13794390857219696,0.20357422530651093,0.3026125431060791,0.45150935649871826,0.31760478019714355,0.5194687247276306,0.24739673733711243
Grundlæggende biokemi,0.7453499436378479,0.587114691734314,0.24011622369289398,0.3108043968677521,0.2706564962863922,0.3987364172935486,0.68889981508255,0.47821134328842163,0.0,0.6689119935035706,0.4096483290195465,0.18708676099777222,0.32031694054603577,0.7406107187271118,0.3713994324207306,0.21342606842517853,0.3606424331665039,0.47838354110717773,0.2222999930381775,0.369825541973114,0.5156439542770386,0.42835280299186707,0.23541785776615143,0.528191089630127,0.3694719970226288,0.3253428041934967,0.5702322125434875,0.5175915360450745,0.48664674162864685,0.3781030774116516,0.527813732624054,0.4843911826610565,0.29625898599624634,0.3137017488479614,0.5749859809875488,0.26328152418136597,0.5643247961997986,0.27640971541404724,0.5186686515808105,0.33894413709640503,0.308952659368515,0.42396578192710876,0.10008015483617783,0.06723971664905548,0.16953839361667633
Fundamental Molekylær Biologi,0.2719241678714752,0.5188254117965698,0.5553516149520874,0.2297441065311432,0.3929210901260376,0.3945995271205902,0.8498381972312927,0.7603248953819275,0.6689119935035706,0.0,0.11553557217121124,0.4704684317111969,0.4021574556827545,0.30497580766677856,0.5748576521873474,0.41898077726364136,0.17116953432559967,0.6733648180961609,0.5771629214286804,0.5042489767074585,0.46292150020599365,0.4306386709213257,0.244778111577034,0.38936182856559753,0.35696786642074585,0.3037388324737549,0.3716548979282379,0.6039792895317078,0.36133483052253723,0.4012412130832672,0.2639255225658417,0.6106270551681519,0.4578132927417755,0.24627380073070526,0.37185949087142944,0.3932807147502899,0.5897462368011475,0.21519345045089722,0.23730388283729553,0.47340404987335205,0.3914339542388916,0.3885403871536255,0.3054368197917938,0.25215983390808105,0.23956362903118134
